5gram,count
"('NN', 'IN', 'DT', 'JJ', 'NN')",0.003865725892666239
"('IN', 'DT', 'JJ', 'NN', 'IN')",0.003019029292281377
"('DT', 'JJ', 'NN', 'IN', 'DT')",0.002933504383151593
"('NN', 'IN', 'DT', 'NN', 'IN')",0.0024203549283728885
"('DT', 'NN', 'IN', 'DT', 'NN')",0.0023690399828950183
"('JJ', 'NN', 'IN', 'DT', 'NN')",0.0021894376737224717
"('DT', 'JJ', 'NN', 'IN', 'JJ')",0.002009835364549925
"('IN', 'DT', 'NN', 'IN', 'DT')",0.0019072054735941844
"('IN', 'DT', 'JJ', 'NN', 'NN')",0.0017447081462475945
"('IN', 'DT', 'NN', 'IN', 'JJ')",0.0016848407098567458
"('DT', 'NN', 'IN', 'JJ', 'NN')",0.0016762882189437674
"('JJ', 'NN', 'IN', 'DT', 'JJ')",0.0016420782552918538
"('DT', 'NN', 'IN', 'JJ', 'NNS')",0.0016420782552918538
"('DT', 'NN', 'IN', 'DT', 'JJ')",0.0016164207825529184
"('NNS', 'IN', 'DT', 'JJ', 'NN')",0.0016078682916399402
"('JJ', 'NN', 'IN', 'JJ', 'NNS')",0.0015052384006841993
"('IN', 'DT', 'NN', 'IN', 'NN')",0.0013769510369895232
"('NN', 'IN', 'DT', 'NN', 'NN')",0.0013683985460765447
"('JJ', 'NN', 'IN', 'JJ', 'NN')",0.0013427410733376096
"('DT', 'JJ', 'NN', 'IN', 'NN')",0.0013256360915116527
"('JJ', 'NNS', 'IN', 'DT', 'NN')",0.0012999786187727176
"('VBZ', 'DT', 'JJ', 'NN', 'IN')",0.0012572161642078255
"('IN', 'DT', 'JJ', 'NN', '.')",0.001248663673294847
"('VBN', 'IN', 'DT', 'JJ', 'NN')",0.0011716912550780415
"('PRP', 'VBP', 'DT', 'JJ', 'NN')",0.001163138764165063
"('NN', 'IN', 'JJ', 'NNS', 'IN')",0.0011460337823391063
"('.', 'RB', ',', 'PRP', 'VBP')",0.0011460337823391063
"('NN', 'IN', 'JJ', 'NNS', '.')",0.0011374812914261279
"('IN', 'DT', 'JJ', 'JJ', 'NN')",0.0010947188368612359
"('NNS', 'IN', 'DT', 'NN', 'IN')",0.0010947188368612359
"('JJ', 'NNS', 'IN', 'JJ', 'NN')",0.0010605088732093223
"('IN', 'DT', 'JJ', 'NN', ',')",0.0010605088732093223
"('JJ', 'NNS', 'IN', 'JJ', 'NNS')",0.0010434038913833654
"('.', 'IN', 'DT', 'NN', ',')",0.0010177464186444302
"('VBN', 'IN', 'DT', 'NN', 'IN')",0.0009835364549925167
"('NN', 'IN', 'JJ', 'JJ', 'NNS')",0.0009578789822535813
"('NN', 'NN', 'IN', 'DT', 'NN')",0.000949326491340603
"('TO', 'VB', 'DT', 'JJ', 'NN')",0.0009407740004276245
"('JJ', 'NNS', 'IN', 'DT', 'JJ')",0.0009322215095146462
"('VBP', 'DT', 'JJ', 'NN', 'IN')",0.0009322215095146462
"(',', 'PRP', 'VBP', 'DT', 'JJ')",0.0008980115458627325
"('NN', 'VBZ', 'DT', 'JJ', 'NN')",0.0008894590549497542
"('PRP', 'VBP', 'DT', 'NN', 'IN')",0.0008894590549497542
"('NN', 'IN', 'JJ', 'NN', 'NNS')",0.0008638015822108189
"('DT', 'JJ', 'NN', 'IN', 'NNS')",0.0008124866367329484
"('IN', 'DT', 'NN', ',', 'PRP')",0.0008039341458199701
"('VB', 'DT', 'JJ', 'NN', 'IN')",0.0008039341458199701
"('IN', 'JJ', 'NNS', 'IN', 'DT')",0.0007953816549069917
"('DT', 'JJ', 'NN', 'NN', 'IN')",0.0007868291639940132
"('NN', '.', 'DT', 'JJ', 'NN')",0.0007697241821680564
"('DT', 'NN', ',', 'PRP', 'VBP')",0.0007697241821680564
"('NN', 'NN', 'IN', 'DT', 'JJ')",0.0007611716912550781
"('DT', 'NN', 'NN', 'IN', 'DT')",0.0007611716912550781
"('IN', 'DT', 'NN', 'NN', 'IN')",0.0007611716912550781
"('TO', 'VB', 'DT', 'NN', 'IN')",0.0007611716912550781
"('NN', ',', 'PRP', 'VBP', 'DT')",0.0007526192003420996
"('JJ', 'NNS', '.', 'PRP', 'VBP')",0.0007355142185161428
"('NN', '.', 'IN', 'DT', 'NN')",0.0007098567457772076
"('DT', 'JJ', 'JJ', 'NN', 'IN')",0.0007098567457772076
"('JJ', 'NN', '.', 'RB', ',')",0.0007098567457772076
"('NN', 'IN', 'JJ', 'NNS', ',')",0.0007098567457772076
"('IN', 'DT', 'NN', 'IN', 'NNS')",0.0007013042548642293
"('DT', 'NN', 'IN', 'JJ', 'JJ')",0.0007013042548642293
"('NNS', 'IN', 'DT', 'NN', 'NN')",0.0006927517639512508
"('.', 'PRP', 'VBP', 'DT', 'NN')",0.0006927517639512508
"('JJ', 'NNS', '.', 'RB', ',')",0.0006927517639512508
"('NN', '.', 'RB', ',', 'PRP')",0.0006927517639512508
"('NN', '.', 'PRP', 'VBP', 'DT')",0.0006841992730382724
"('NNS', '.', 'IN', 'DT', 'NN')",0.000675646782125294
"('JJ', 'NN', '(', 'NNP', ')')",0.000675646782125294
"('NN', 'IN', 'DT', 'NN', '.')",0.0006585418002993372
"('.', 'DT', 'JJ', 'NN', 'IN')",0.0006585418002993372
"('NNS', '.', 'DT', 'JJ', 'NN')",0.0006499893093863588
"('DT', 'NN', 'IN', 'NN', 'NNS')",0.0006499893093863588
"('DT', 'NN', 'IN', 'NN', 'NN')",0.0006414368184733803
"('IN', 'JJ', 'JJ', 'NNS', '.')",0.0006414368184733803
"('IN', 'JJ', 'NNS', 'IN', 'JJ')",0.0006414368184733803
"('IN', 'DT', 'NN', 'NN', '.')",0.0006414368184733803
"('NNP', 'NNP', '(', 'NNP', ')')",0.0006243318366474235
"('DT', 'JJ', 'NN', 'NN', '.')",0.0006157793457344452
"('NNS', '.', 'PRP', 'VBP', 'DT')",0.0006072268548214667
