5gram,count
"('NN', 'IN', 'DT', 'JJ', 'NN')",0.003187115718152476
"('DT', 'JJ', 'NN', 'IN', 'DT')",0.00256847057673547
"('IN', 'DT', 'JJ', 'NN', 'IN')",0.0023839059659385045
"('DT', 'NN', 'IN', 'DT', 'NN')",0.0022868005435331324
"('JJ', 'NN', 'IN', 'DT', 'NN')",0.0020424292818507395
"('.', 'IN', 'DT', 'NN', ',')",0.0019896965359087492
"('NN', 'IN', 'DT', 'NN', 'IN')",0.0019614009161349985
"('IN', 'DT', 'JJ', 'NN', 'NN')",0.0018327844626179492
"('IN', 'DT', 'NN', ',', 'PRP')",0.0018102765832524658
"('DT', 'NN', ',', 'PRP', 'VBP')",0.0018044888428441984
"('IN', 'DT', 'NN', 'IN', 'DT')",0.0016507921808913248
"('PRP', 'VBP', 'DT', 'JJ', 'NN')",0.0016295704660610117
"('NNS', 'IN', 'DT', 'JJ', 'NN')",0.001551114429415612
"('NN', ',', 'PRP', 'VBP', 'DT')",0.0015388958663314922
"('DT', 'NN', 'IN', 'DT', 'JJ')",0.0015228188096418612
"('DT', 'JJ', 'NN', 'IN', 'JJ')",0.0014829477090515758
"('NN', 'IN', 'DT', 'NN', 'NN')",0.001472658392770212
"('PRP', 'VBP', 'DT', 'NN', 'IN')",0.0013530450909993563
"('JJ', 'NN', 'IN', 'DT', 'JJ')",0.0013408265279152365
"('DT', 'NN', 'IN', 'JJ', 'NNS')",0.0013343957052393842
"('IN', 'DT', 'NN', 'IN', 'JJ')",0.0013298941293662875
"('IN', 'DT', 'JJ', 'NN', '.')",0.0012784475479594678
"('NN', '.', 'IN', 'DT', 'NN')",0.0012642997380725924
"('DT', 'NN', 'IN', 'JJ', 'NN')",0.001255296586326399
"('VBN', 'IN', 'DT', 'JJ', 'NN')",0.00121864089707404
"('VBZ', 'DT', 'JJ', 'NN', 'IN')",0.001216068568003699
"(',', 'PRP', 'VBP', 'DT', 'JJ')",0.0012089946630602613
"('DT', 'JJ', 'NN', 'IN', 'NN')",0.0011601204107237826
"('JJ', 'NNS', 'IN', 'DT', 'NN')",0.0011543326703155154
"('.', 'PRP', 'VBP', 'DT', 'NN')",0.0011106030761197188
"('NN', 'VBZ', 'DT', 'JJ', 'NN')",0.0011099599938521336
"('NNP', 'NNP', '(', 'NNP', ')')",0.0011093169115845482
"('TO', 'VB', 'DT', 'NN', 'IN')",0.0010726612223321893
"(',', 'PRP', 'VBP', 'DT', 'NN')",0.0010655873173887516
"('TO', 'VB', 'DT', 'JJ', 'NN')",0.0010533687543046318
"('DT', 'JJ', 'NN', 'NN', 'IN')",0.0010495102606991205
"('NNS', '.', 'IN', 'DT', 'NN')",0.0010437225202908533
"('JJ', 'NN', 'IN', 'JJ', 'NN')",0.001006423748770909
