5gram,count
"('NN', 'IN', 'DT', 'JJ', 'NN')",0.004609829180218711
"('DT', 'JJ', 'NN', 'IN', 'DT')",0.003739083668399621
"('DT', 'NN', 'IN', 'DT', 'NN')",0.0036366430199503163
"('IN', 'DT', 'JJ', 'NN', 'IN')",0.003124439777703793
"('NN', 'IN', 'DT', 'NN', 'NN')",0.0030219991292544882
"('JJ', 'NN', 'IN', 'DT', 'NN')",0.0029451686429175098
"('NN', 'IN', 'DT', 'NN', 'IN')",0.002663456859681922
"('IN', 'DT', 'JJ', 'NN', 'NN')",0.0026378466975695955
"('IN', 'DT', 'NN', 'IN', 'DT')",0.002561016211232617
"('DT', 'NN', 'IN', 'DT', 'JJ')",0.0024329654006709864
"('PRP', 'VBP', 'DT', 'JJ', 'NN')",0.002100033293210746
"('NNS', 'IN', 'DT', 'JJ', 'NN')",0.001946372320536789
"('JJ', 'NN', 'IN', 'DT', 'JJ')",0.001920762158424463
"('DT', 'JJ', 'NN', 'IN', 'JJ')",0.0018951519963121366
"('.', 'PRP', 'VBP', 'DT', 'JJ')",0.0016902706994135273
"('NN', '.', 'PRP', 'VBP', 'DT')",0.001664660537301201
"('PRP', 'VBP', 'DT', 'NN', 'IN')",0.0015622198888518965
"('DT', 'NN', 'IN', 'JJ', 'NN')",0.0015366097267395702
"('NN', 'NN', 'IN', 'DT', 'NN')",0.0015366097267395702
"('DT', 'JJ', 'NN', 'NN', 'IN')",0.0014597792404025917
"('.', 'PRP', 'VBP', 'DT', 'NN')",0.0014597792404025917
"('IN', 'DT', 'JJ', 'NN', '.')",0.0014341690782902657
"('VBZ', 'DT', 'JJ', 'NN', 'IN')",0.0014341690782902657
"('IN', 'DT', 'NN', 'IN', 'NN')",0.0013829487540656133
"('JJ', 'NNS', 'IN', 'DT', 'NN')",0.0013829487540656133
"('DT', 'NN', 'IN', 'JJ', 'NNS')",0.001357338591953287
"('VBP', 'DT', 'JJ', 'NN', 'IN')",0.001357338591953287
"('IN', 'DT', 'JJ', 'JJ', 'NN')",0.001331728429840961
"('NN', ',', 'PRP', 'VBP', 'DT')",0.001331728429840961
"('NN', '.', 'DT', 'NN', 'VBZ')",0.0013061182677286348
"('DT', 'JJ', 'NN', 'IN', 'NN')",0.0013061182677286348
"('VBN', 'IN', 'DT', 'JJ', 'NN')",0.0012805081056163085
"('NNS', '.', 'PRP', 'VBP', 'DT')",0.0012548979435039825
"('IN', 'DT', 'NN', 'IN', 'JJ')",0.0012292877813916562
"('JJ', 'NN', 'IN', 'JJ', 'NN')",0.00120367761927933
"('NN', 'VBZ', 'DT', 'JJ', 'NN')",0.0011780674571670038
"('NNS', 'IN', 'DT', 'NN', 'IN')",0.0011524572950546777
"(',', 'PRP', 'VBP', 'DT', 'NN')",0.0011524572950546777
"('NN', '.', 'DT', 'JJ', 'NN')",0.0011524572950546777
"('IN', 'DT', 'JJ', 'NN', ',')",0.0011268471329423516
"('JJ', 'NN', 'NN', 'IN', 'DT')",0.0011268471329423516
"('DT', 'NN', 'NN', 'IN', 'DT')",0.0011268471329423516
"('IN', 'DT', 'NN', ',', 'PRP')",0.0011012369708300253
"('NN', 'NN', 'IN', 'DT', 'JJ')",0.0011012369708300253
"('IN', 'DT', 'NN', 'NN', 'IN')",0.0010756268087176992
"('NN', 'NN', '.', 'PRP', 'VBP')",0.0010756268087176992
"('TO', 'VB', 'DT', 'NN', 'IN')",0.0010756268087176992
"('.', 'IN', 'DT', 'NN', ',')",0.001050016646605373
"('JJ', 'NN', '.', 'PRP', 'VBP')",0.0010244064844930469
"('DT', 'JJ', 'NN', 'NN', 'NN')",0.0009731861602683945
"('.', 'DT', 'NN', 'VBZ', 'DT')",0.0009731861602683945
"('DT', 'JJ', 'JJ', 'NN', 'NN')",0.0009731861602683945
"('NN', 'IN', 'DT', 'NN', '.')",0.0009731861602683945
"('NN', 'IN', 'JJ', 'NN', 'NNS')",0.0009475759981560683
"('JJ', 'NNS', '.', 'PRP', 'VBP')",0.0009475759981560683
"('DT', 'JJ', 'NN', 'IN', 'NNS')",0.0009475759981560683
"('DT', 'NN', ',', 'PRP', 'VBP')",0.0009475759981560683
"('DT', 'JJ', 'NN', 'NN', '.')",0.0009475759981560683
"('DT', 'JJ', 'JJ', 'NN', 'IN')",0.0009219658360437421
"('DT', 'NN', 'IN', 'NN', 'NN')",0.000896355673931416
"('IN', 'DT', 'NN', 'IN', 'NNS')",0.000896355673931416
"('.', 'RB', ',', 'PRP', 'VBP')",0.000896355673931416
"('NN', 'IN', 'JJ', 'NNS', 'IN')",0.000896355673931416
"('NN', 'VBZ', 'DT', 'NN', 'IN')",0.0008707455118190898
"('JJ', 'NN', 'IN', 'JJ', 'NNS')",0.0008707455118190898
"('JJ', 'NNS', 'IN', 'DT', 'JJ')",0.0008451353497067637
"('NN', 'IN', 'DT', 'JJ', 'JJ')",0.0008451353497067637
"('NN', '.', 'IN', 'DT', 'NN')",0.0008451353497067637
"('NN', 'IN', 'DT', 'NNP', 'NN')",0.0008451353497067637
"('IN', 'DT', 'NN', 'NN', '.')",0.0008195251875944375
"('NN', 'IN', 'DT', 'NN', 'VBZ')",0.0008195251875944375
"('NN', 'IN', 'JJ', 'NNS', '.')",0.0008195251875944375
"(',', 'PRP', 'VBP', 'DT', 'JJ')",0.0008195251875944375
"('VB', 'DT', 'JJ', 'NN', 'IN')",0.0007939150254821113
"('VB', 'DT', 'NN', 'IN', 'DT')",0.0007939150254821113
"('NN', 'TO', 'VB', 'DT', 'NN')",0.0007939150254821113
"('NN', 'IN', 'JJ', 'NN', 'NN')",0.0007939150254821113
"('NN', 'NN', '.', 'DT', 'NN')",0.0007683048633697851
"('IN', 'DT', 'NN', 'NN', ',')",0.0007683048633697851
"('NNS', '.', 'IN', 'DT', 'NN')",0.0007683048633697851
"('.', 'DT', 'JJ', 'NN', 'IN')",0.0007683048633697851
"('DT', 'JJ', 'NN', 'IN', 'VBG')",0.0007426947012574589
"('IN', 'VBG', 'DT', 'NN', 'IN')",0.0007426947012574589
"('NN', 'NNS', '.', 'PRP', 'VBP')",0.0007426947012574589
"('NNS', 'IN', 'JJ', 'NNS', '.')",0.0007426947012574589
"('NN', 'NNS', 'IN', 'DT', 'JJ')",0.0007426947012574589
"('VBZ', 'DT', 'NN', 'IN', 'DT')",0.0007426947012574589
"('IN', 'DT', 'NN', 'NN', 'NN')",0.0007426947012574589
"('NNS', '.', 'DT', 'JJ', 'NN')",0.0007426947012574589
"('DT', 'NN', 'VBZ', 'DT', 'NN')",0.0007170845391451328
"('JJ', 'NNS', 'IN', 'JJ', 'NN')",0.0007170845391451328
"('NNS', 'IN', 'DT', 'NN', 'NN')",0.0007170845391451328
"('VBP', 'DT', 'JJ', 'NN', 'NN')",0.0007170845391451328
"('NN', 'IN', 'VBG', 'DT', 'NN')",0.0007170845391451328
"('NNS', '.', 'DT', 'NN', 'VBZ')",0.0006914743770328066
"('.', 'DT', 'JJ', 'NN', 'VBZ')",0.0006658642149204805
