5gram,count
"('NN', 'IN', 'DT', 'JJ', 'NN')",0.0042173487301623075
"('DT', 'JJ', 'NN', 'IN', 'DT')",0.00393560779658555
"('IN', 'DT', 'JJ', 'NN', 'IN')",0.003274455739125426
"('DT', 'NN', 'IN', 'DT', 'NN')",0.0025882600431251456
"('NN', 'IN', 'DT', 'NN', 'IN')",0.002525650946774755
"('IN', 'DT', 'NN', 'IN', 'DT')",0.002493094216672552
"('JJ', 'NN', 'IN', 'DT', 'NN')",0.0024818245793294816
"('DT', 'NN', 'IN', 'DT', 'JJ')",0.0023227974745994896
"('JJ', 'NN', 'IN', 'DT', 'JJ')",0.0021587616421614663
"('IN', 'DT', 'JJ', 'NN', 'NN')",0.0019145861663949432
"('NNS', 'IN', 'DT', 'JJ', 'NN')",0.0018594901616065995
"('PRP', 'VBP', 'DT', 'JJ', 'NN')",0.001816915976088334
"('PRP', 'VBP', 'DT', 'NN', 'IN')",0.0017029674207306232
"('.', 'IN', 'DT', 'NN', ',')",0.001637853960526217
"('IN', 'DT', 'NN', 'IN', 'JJ')",0.0015865145015188967
"('IN', 'DT', 'JJ', 'JJ', 'NN')",0.001517644495533467
"('IN', 'DT', 'NN', ',', 'PRP')",0.001477574673869217
"('DT', 'JJ', 'NN', 'IN', 'JJ')",0.001445017943767014
"('NN', 'IN', 'DT', 'NN', 'NN')",0.0014162177594458343
"('IN', 'DT', 'JJ', 'NN', '.')",0.001386165393197647
"('DT', 'NN', 'IN', 'JJ', 'NNS')",0.0013799044835626079
"('DT', 'NN', ',', 'PRP', 'VBP')",0.0013410868438253657
"('.', 'PRP', 'VBP', 'DT', 'NN')",0.0013373302980443423
"('VBP', 'DT', 'JJ', 'NN', 'IN')",0.0013110344775771783
"('JJ', 'NNS', 'IN', 'DT', 'NN')",0.001299764840234108
"('NN', ',', 'PRP', 'VBP', 'DT')",0.0012233817426866315
"('JJ', 'NNS', 'IN', 'DT', 'JJ')",0.0011720422836793113
"('NN', '.', 'PRP', 'VBP', 'DT')",0.0011707901017523033
"('DT', 'JJ', 'NN', 'NN', 'IN')",0.0011707901017523033
"('VBZ', 'DT', 'JJ', 'NN', 'IN')",0.0011607726463362408
"('NNS', 'IN', 'DT', 'NN', 'IN')",0.0011582682824822252
"('NN', '.', 'IN', 'DT', 'NN')",0.0011582682824822252
"('VBN', 'IN', 'DT', 'JJ', 'NN')",0.0011495030089931706
"('.', 'PRP', 'VBP', 'DT', 'JJ')",0.0011194506427449832
"('NN', 'IN', 'JJ', 'NNS', 'IN')",0.00108689391264278
"(',', 'PRP', 'VBP', 'DT', 'JJ')",0.0010768764572267175
"('NN', 'NN', 'IN', 'DT', 'JJ')",0.0010530850006135691
"('IN', 'DT', 'JJ', 'NN', ',')",0.0010192760885843583
"('DT', 'JJ', 'JJ', 'NN', 'IN')",0.0010180239066573504
"('VBN', 'IN', 'DT', 'NN', 'IN')",0.0009904759042631787
"('DT', 'NN', 'IN', 'JJ', 'NN')",0.0009842149946281396
"('NN', 'IN', 'DT', 'JJ', 'JJ')",0.000981710630774124
"('DT', 'NN', 'NN', 'IN', 'DT')",0.0009541626283799521
"('NNS', '.', 'PRP', 'VBP', 'DT')",0.0009378842633288505
"(',', 'PRP', 'VBP', 'DT', 'NN')",0.0009303711717668036
"('NNS', '.', 'IN', 'DT', 'NN')",0.0009003188055186162
"('NN', 'IN', 'DT', 'NNP', 'NN')",0.0008978144416646005
"('NN', 'NN', 'IN', 'DT', 'NN')",0.0008865448043215302
"('DT', 'JJ', 'NN', 'IN', 'NN')",0.000881536076613499
