5gram,count
"('NN', 'IN', 'DT', 'JJ', 'NN')",0.004708839293825515
"('DT', 'JJ', 'NN', 'IN', 'DT')",0.003880539588272701
"('IN', 'DT', 'JJ', 'NN', 'IN')",0.0033969194376112194
"('JJ', 'NN', 'IN', 'DT', 'NN')",0.0026719345340413367
"('IN', 'DT', 'NN', 'IN', 'DT')",0.0026532309923030474
"('IN', 'DT', 'JJ', 'NN', 'NN')",0.002632746160875397
"('DT', 'NN', 'IN', 'DT', 'NN')",0.0025926671428647768
"('DT', 'NN', 'IN', 'DT', 'JJ')",0.0023913814079669963
"('NN', 'IN', 'DT', 'NN', 'IN')",0.002311223371945756
"('JJ', 'NN', 'IN', 'DT', 'JJ')",0.0022978636992755496
"('NN', 'IN', 'DT', 'NN', 'NN')",0.002166938907107524
"('NNS', 'IN', 'DT', 'JJ', 'NN')",0.0019398244717140104
"('DT', 'JJ', 'NN', 'IN', 'JJ')",0.0016343332899886175
"('VBN', 'IN', 'DT', 'JJ', 'NN')",0.0016085045894928846
"('IN', 'DT', 'JJ', 'JJ', 'NN')",0.0015924729822886367
"('IN', 'DT', 'JJ', 'NN', '.')",0.0014811423767035808
"('IN', 'DT', 'NN', 'IN', 'JJ')",0.0014802517318589004
"('JJ', 'NNS', 'IN', 'DT', 'NN')",0.001345764360312153
"('DT', 'NN', 'IN', 'JJ', 'NN')",0.0013324046876419466
"('DT', 'JJ', 'NN', 'NN', 'IN')",0.001317263725282379
"('DT', 'NN', 'IN', 'JJ', 'NNS')",0.0012486840722419847
"('JJ', 'NNS', 'IN', 'DT', 'JJ')",0.0012086050542313646
"('IN', 'DT', 'JJ', 'NN', ',')",0.0011783231295122295
"('PRP', 'VBP', 'DT', 'JJ', 'NN')",0.0011658541016867031
"('PRP', 'VBP', 'DT', 'NN', 'IN')",0.0011418066908803312
"('DT', 'JJ', 'NN', 'IN', 'NN')",0.0011391347563462898
"('NN', 'NN', 'IN', 'DT', 'NN')",0.001135572176967568
"('NNS', 'IN', 'DT', 'NN', 'IN')",0.0010892586450441848
"('NN', 'NN', 'IN', 'DT', 'JJ')",0.0010750083275292979
"('.', 'PRP', 'VBP', 'DT', 'NN')",0.001065211234237813
"('NN', '.', 'PRP', 'VBP', 'DT')",0.0010545234961016475
"('IN', 'DT', 'NN', 'NN', 'IN')",0.0010465076924995236
"('DT', 'NN', 'NN', 'IN', 'DT')",0.0010411638234314408
"('JJ', 'NN', 'IN', 'JJ', 'NNS')",0.0010411638234314408
"('NN', 'IN', 'JJ', 'NNS', 'IN')",0.0010162257677803883
"('JJ', 'NN', 'IN', 'JJ', 'NN')",0.0009939596466633771
"('DT', 'JJ', 'JJ', 'NN', 'IN')",0.0009859438430612532
"('IN', 'DT', 'NN', 'IN', 'NN')",0.0009805999739931706
"('JJ', 'NN', 'NN', 'IN', 'DT')",0.0009805999739931706
"('VBN', 'IN', 'DT', 'NN', 'IN')",0.0009699122358570052
"('NN', 'IN', 'DT', 'NNP', 'NN')",0.0009583338528761594
"('NN', 'IN', 'DT', 'JJ', 'JJ')",0.0009440835353612723
"('VBP', 'DT', 'JJ', 'NN', 'IN')",0.0009423022456719114
"('NN', '.', 'DT', 'JJ', 'NN')",0.0009405209559825505
"('VBZ', 'DT', 'JJ', 'NN', 'IN')",0.000915582900331498
"('.', 'PRP', 'VBP', 'DT', 'JJ')",0.000849675181825145
"('NNS', '.', 'PRP', 'VBP', 'DT')",0.0008318622849315361
"('NNS', 'IN', 'DT', 'NN', 'NN')",0.0008282997055528143
"('DT', 'JJ', 'NNS', 'IN', 'DT')",0.0008185026122613294
"('NN', 'VBZ', 'DT', 'JJ', 'NN')",0.0008069242292804837
"('VB', 'DT', 'JJ', 'NN', 'IN')",0.0007926739117655965
"('JJ', 'NN', '.', 'PRP', 'VBP')",0.000791783266920916
"('TO', 'VB', 'DT', 'JJ', 'NN')",0.000777532949406029
"('JJ', 'NNS', 'IN', 'JJ', 'NNS')",0.0007686265009592245
"('IN', 'DT', 'NN', 'NN', '.')",0.0007659545664251831
"('.', 'IN', 'DT', 'NN', ',')",0.0007606106973571004
"('JJ', 'NNS', '.', 'PRP', 'VBP')",0.0007472510246868938
"('IN', 'JJ', 'NNS', 'IN', 'DT')",0.0007454697349975329
"('NNP', 'NNP', '(', 'NNP', ')')",0.0007427978004634916
"('NN', '.', 'IN', 'DT', 'NN')",0.0007374539313954089
"('NN', 'VBZ', 'VBN', 'IN', 'DT')",0.0007374539313954089
"('NN', 'IN', 'JJ', 'NN', 'NNS')",0.0007294381277932849
"('NN', 'IN', 'JJ', 'NNS', '.')",0.0007240942587252022
"('DT', 'JJ', 'NN', 'NN', '.')",0.0007169690999677587
"('NN', 'IN', 'JJ', 'JJ', 'NNS')",0.0007169690999677587
"('JJ', 'NNS', 'IN', 'JJ', 'NN')",0.0007160784551230782
"('NN', 'IN', 'DT', 'JJ', 'NNS')",0.000711625230899676
"('IN', 'DT', 'JJ', 'NNS', 'IN')",0.0007071720066762737
"('.', 'DT', 'JJ', 'NN', 'IN')",0.0007053907169869128
"('JJ', 'JJ', 'NN', 'IN', 'DT')",0.0007000468479188302
"('.', 'RB', ',', 'PRP', 'VBP')",0.0006857965304039431
"('TO', 'VB', 'DT', 'NN', 'IN')",0.0006786713716464995
"('DT', 'JJ', 'NN', 'NN', 'NN')",0.0006706555680443755
"('JJ', 'NN', 'IN', 'DT', 'NNP')",0.0006572958953741688
"('.', 'PRP', 'VBP', 'IN', 'DT')",0.0006564052505294883
"('NN', 'IN', 'DT', 'NN', '.')",0.0006510613814614057
"('DT', 'JJ', 'JJ', 'NN', 'NN')",0.0006492800917720448
"('NN', ',', 'PRP', 'VBP', 'DT')",0.000647498802082684
"('IN', 'DT', 'NN', 'NN', 'NN')",0.0006448268675486426
"('NN', 'NN', '(', 'NNP', ')')",0.000637701708791199
"('.', 'IN', 'DT', 'JJ', 'NN')",0.0006243420361209923
"('.', 'DT', 'NN', 'IN', 'DT')",0.0006198888118975901
"('DT', 'NN', 'IN', 'DT', 'NNP')",0.0006189981670529096
"('VBP', 'DT', 'NN', 'IN', 'DT')",0.0006172168773635487
"('NN', 'IN', 'JJ', 'NN', 'IN')",0.0006154355876741879
"('JJ', 'NN', '.', 'DT', 'NN')",0.0006145449428295075
"('NN', '.', 'DT', 'NN', 'VBZ')",0.0006109823634507857
"('NN', 'NN', '.', 'PRP', 'VBP')",0.0006100917186061052
"(',', 'PRP', 'VBP', 'DT', 'JJ')",0.0006083104289167443
"('JJ', 'NN', '(', 'NNP', ')')",0.0006065291392273834
"('NN', '.', 'DT', 'NN', 'IN')",0.0006002946253146203
"('NNS', '.', 'DT', 'JJ', 'NN')",0.0005994039804699398
"('IN', 'DT', 'NN', ',', 'PRP')",0.0005931694665571767
"('DT', 'JJ', 'NN', '.', 'DT')",0.0005904975320231353
"(',', 'PRP', 'VBP', 'DT', 'NN')",0.0005851536629550528
"('NN', 'NNS', 'IN', 'DT', 'NN')",0.0005824817284210114
"('DT', 'JJ', 'NN', 'IN', 'NNS')",0.0005780285041976092
"('IN', 'JJ', 'NN', 'IN', 'DT')",0.0005726846351295265
"('NNP', '(', 'CD', ')', '$')",0.0005726846351295265
"('NN', 'NNS', 'IN', 'DT', 'JJ')",0.0005673407660614438
