word,count
of,3565
in,2402
the,2104
and,1979
for,1042
a,938
with,711
on,562
to,464
A,463
The,439
from,347
by,305
2,269
at,233
model,196
spin,187
quantum,180
using,174
an,170
1,162
3,156
based,151
magnetic,143
Quantum,140
dynamics,140
dimensional,134
field,131
High,128
systems,126
phase,125
On,118
two,116
structure,111
s,107
as,106
Spin,105
energy,103
An,103
time,100
induced,97
non,96
theory,93
properties,91
high,91
wave,91
study,89
between,88
states,87
electron,86
Magnetic,85
models,84
ray,82
Networks,82
analysis,82
temperature,81
II,81
approach,81
x,79
method,78
transition,77
optical,77
networks,77
surface,76
order,74
Time,73
matter,73
Topological,72
I,72
state,71
4,71
effect,70
Dynamics,69
Two,69
Phase,69
Model,68
0,67
equation,67
Field,67
Energy,66
dark,66
data,66
lattice,65
X,65
via,64
Analysis,64
nonlinear,64
topological,63
system,62
Fermi,61
driven,61
density,60
low,60
mass,60
Non,60
equations,60
electronic,59
galaxy,59
flow,59
light,59
effects,58
thin,57
liquid,56
Theory,56
Data,56
type,56
transport,55
through,55
Optical,54
Systems,54
O,54
its,53
films,53
Using,53
gas,52
Dark,52
evolution,52
galaxies,52
new,52
coupling,51
under,51
formation,51
star,50
Effect,50
interaction,50
Multi,49
space,49
single,49
interactions,49
Low,49
5,49
scale,48
imaging,48
Effects,48
dependent,48
z,48
Network,47
metal,47
laser,47
New,47
First,47
thermal,46
Survey,45
coupled,45
network,45
Dirac,45
System,45
Large,45
Bose,45
Galactic,45
self,44
particle,44
scattering,44
Matter,44
Cosmic,44
waves,44
graphene,43
Based,43
Deep,43
simulation,43
molecular,43
Structure,43
Study,42
multi,42
Dimensional,42
fields,42
N,42
Electron,42
Gas,42
Learning,42
superconductors,41
water,41
free,41
stars,41
symmetry,41
large,40
Evolution,40
Modeling,40
Light,40
superconducting,40
Simulation,40
Models,40
their,40
linear,39
Fe,39
body,39
simulations,39
Properties,39
charge,39
line,39
frequency,38
band,38
orbit,38
Mass,38
Galaxy,38
Detection,38
control,38
near,38
State,37
flows,37
spectroscopy,37
measurements,37
turbulence,37
Weyl,37
one,37
gravitational,37
complex,37
random,37
like,37
finite,37
Single,36
C,36
doped,36
emission,36
Thermal,36
solutions,35
detection,35
ion,35
Lattice,35
Molecular,35
three,35
Application,35
layer,35
distribution,35
States,34
during,34
7,34
Imaging,34
Spectral,34
Galaxies,34
potential,34
clusters,34
learning,34
function,34
crystal,34
cluster,34
Formation,33
local,33
Dynamical,33
3D,33
Three,33
From,33
Fast,33
Experimental,33
Surface,33
atomic,33
strong,33
Star,32
Density,32
Nonlinear,32
dynamical,32
modeling,32
Ray,32
Monte,32
Carlo,32
vortex,32
correlation,32
pressure,32
limit,32
range,32
response,31
physics,31
Emission,31
atoms,31
growth,31
Stars,31
around,31
Dynamic,31
Evidence,30
Numerical,30
Flow,30
plasma,30
solar,30
stellar,30
Hall,30
K,30
Earth,30
Design,30
materials,30
T,30
α,30
spectral,30
n,30
boundary,30
Order,30
Self,29
chains,29
Wave,29
superconductor,29
case,29
