6gram,count
"('.', 'IN', 'DT', 'NN', ',', 'PRP')",0.0015931236338038606
"('IN', 'DT', 'NN', ',', 'PRP', 'VBP')",0.001583316443171689
"('DT', 'JJ', 'NN', 'IN', 'DT', 'NN')",0.00129345947559862
"('DT', 'NN', ',', 'PRP', 'VBP', 'DT')",0.0011027641021952852
"('JJ', 'NN', 'IN', 'DT', 'JJ', 'NN')",0.0010853290966269802
"('DT', 'NN', 'IN', 'DT', 'JJ', 'NN')",0.0010275756406819703
"('DT', 'JJ', 'NN', 'IN', 'DT', 'JJ')",0.000926234670816198
"('NN', 'IN', 'DT', 'JJ', 'NN', 'IN')",0.0008543152728469403
"('IN', 'DT', 'JJ', 'NN', 'IN', 'DT')",0.000849956521454864
"('NN', 'IN', 'DT', 'JJ', 'NN', 'NN')",0.0008445080822147687
"('NN', '.', 'IN', 'DT', 'NN', ',')",0.0008390596429746735
"('IN', 'DT', 'NN', 'IN', 'DT', 'NN')",0.0008205349495583495
"(',', 'PRP', 'VBP', 'DT', 'JJ', 'NN')",0.000809638071078159
"('NN', ',', 'PRP', 'VBP', 'DT', 'JJ')",0.0007747680599415491
"('.', 'PRP', 'VBP', 'DT', 'NN', 'IN')",0.0007638711814613586
"('.', 'PRP', 'VBP', 'DT', 'JJ', 'NN')",0.0007616918057653205
"('PRP', 'VBP', 'DT', 'JJ', 'NN', 'IN')",0.0007573330543732442
"('NNP', 'NNP', 'NNP', '(', 'NNP', ')')",0.0007246424189326726
"('JJ', 'NN', 'IN', 'DT', 'NN', 'IN')",0.0006810549050119103
"('NNS', '.', 'IN', 'DT', 'NN', ',')",0.0006592611480515291
"('NN', 'IN', 'DT', 'NN', 'IN', 'DT')",0.0006145839462827478
"('DT', 'NN', 'IN', 'DT', 'NN', 'IN')",0.0006134942584347288
"('DT', 'JJ', 'NN', 'IN', 'JJ', 'NN')",0.0006124045705867097
"('IN', 'DT', 'NN', 'IN', 'JJ', 'NNS')",0.0005862520622342524
"('NN', 'NN', 'IN', 'DT', 'JJ', 'NN')",0.0005797139351461381
"('NN', '.', 'PRP', 'VBP', 'DT', 'NN')",0.0005764448716020808
"('NN', 'IN', 'DT', 'JJ', 'NN', '.')",0.0005699067445139666
"('DT', 'JJ', 'NN', 'IN', 'JJ', 'NNS')",0.0005699067445139666
"('IN', 'DT', 'NN', 'IN', 'DT', 'JJ')",0.0005688170566659474
"('JJ', 'NNS', 'IN', 'DT', 'JJ', 'NN')",0.0005481129875535854
"('NN', ',', 'PRP', 'VBP', 'DT', 'NN')",0.0005448439240095282
"('NN', 'VBZ', 'DT', 'JJ', 'NN', 'IN')",0.0005383057969214139
"('DT', 'NN', 'IN', 'DT', 'NN', 'NN')",0.0005121532885689565
"('IN', 'DT', 'NN', 'IN', 'JJ', 'NN')",0.0004990770343927278
"('IN', 'DT', 'JJ', 'NN', 'NN', '.')",0.0004968976586966898
"('IN', 'DT', 'JJ', 'NN', 'IN', 'JJ')",0.000482731716672442
"('NN', '.', 'PRP', 'VBP', 'DT', 'JJ')",0.00048164202882442295
"('NN', 'IN', 'DT', 'NN', 'IN', 'JJ')",0.00047946265312838487
"(',', 'PRP', 'VBP', 'DT', 'NN', 'IN')",0.0004729245260402705
"('DT', 'JJ', 'NN', 'NN', 'IN', 'DT')",0.00047183483819225147
"('TO', 'VB', 'DT', 'JJ', 'NN', 'IN')",0.00046965546249621334
"('NNS', '.', 'PRP', 'VBP', 'DT', 'NN')",0.00045766889616800373
"('NN', 'IN', 'DT', 'JJ', 'JJ', 'NN')",0.00045657920831998467
"('JJ', 'NN', 'NN', '(', 'NNP', ')')",0.00045439983262394654
"('JJ', 'NN', 'IN', 'DT', 'NN', 'NN')",0.00045439983262394654
"('JJ', 'NNS', '.', 'PRP', 'VBP', 'DT')",0.0004380545149036607
"('JJ', 'NNS', '.', 'IN', 'DT', 'NN')",0.00043696482705564166
"('JJ', 'NN', '.', 'IN', 'DT', 'NN')",0.0004358751392076226
"('NNS', 'IN', 'DT', 'JJ', 'NN', 'IN')",0.00043151638781554634
"('PRP', 'VBP', 'DT', 'JJ', 'NN', 'NN')",0.00042170919718337486
"('NNS', '.', 'PRP', 'VBP', 'DT', 'JJ')",0.0004097226308551652
"('NN', '.', 'RB', ',', 'PRP', 'VBP')",0.0004086329430071462
"('.', 'RB', ',', 'PRP', 'VBP', 'DT')",0.00040754325515912713
"('VBN', 'IN', 'DT', 'JJ', 'NN', 'IN')",0.00039664637667893653
"('JJ', 'NN', '.', 'PRP', 'VBP', 'DT')",0.0003933773131348794
"('VBZ', 'DT', 'JJ', 'NN', 'IN', 'DT')",0.0003901082495908222
"('NNS', 'IN', 'DT', 'JJ', 'NN', 'NN')",0.0003824804346546888
"('TO', 'VB', 'DT', 'NN', 'IN', 'DT')",0.00036831449263044106
"('JJ', 'NNS', 'IN', 'DT', 'NN', 'IN')",0.00036831449263044106
"('IN', 'DT', 'JJ', 'NN', 'IN', 'NN')",0.000366135116934403
"('IN', 'DT', 'JJ', 'NN', 'NN', 'IN')",0.00036395574123836486
"('PRP', 'VBP', 'DT', 'NN', 'IN', 'DT')",0.00035959698984628865
"('IN', 'DT', 'JJ', 'NN', 'IN', 'NNS')",0.00035632792630223146
"('VBP', 'DT', 'JJ', 'NN', 'IN', 'DT')",0.0003552382384542124
"('PRP', 'VBP', 'DT', 'JJ', 'JJ', 'NN')",0.000347610423518079
